ID,#clusters,average cluster size,% correct clusters,% features in a correct cluster,% connected cliques in hierarchy,% simple unfolding,% features in simple unfolding
Comparison_of_desktop_publishing_software.fmlbdd,1,5.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_Internet_forum_software.fmlbdd,1,7.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_photo_gallery_software.fmlbdd,1,4.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_image_viewers.fmlbdd,1,5.0,1.0,0.052083333333333336,1.0,1.0,0.052083333333333336
Comparison_of_Internet_Relay_Chat_clients.fmlbdd,2,3.0,1.0,0.037267080745341616,1.0,1.0,0.037267080745341616
Comparison_of_help_desk_issue_tracking_software.fmlbdd,1,4.0,1.0,0.10256410256410256,1.0,1.0,0.10256410256410256
Comparison_of_file_comparison_tools.fmlbdd,1,7.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_relational_database_management_systems.fmlbdd,1,11.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_genealogy_software.fmlbdd,1,6.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_remote_desktop_software.fmlbdd,1,2.0,1.0,0.023529411764705882,1.0,1.0,0.023529411764705882
Comparison_of_reference_management_software.fmlbdd,1,10.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_YouTube_downloaders.fmlbdd,1,9.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_Java_virtual_machines.fmlbdd,1,6.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_iOS_e-book_reader_software.fmlbdd,2,12.5,0.0,0.0,1.0,0.0,0.0
Comparison_of_disk_encryption_software.fmlbdd,1,7.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_documentation_generators.fmlbdd,1,9.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_audio_synthesis_environments.fmlbdd,1,8.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_mail_servers.fmlbdd,1,4.0,1.0,0.037037037037037035,1.0,1.0,0.037037037037037035
Comparison_of_open-source_operating_systems.fmlbdd,2,4.5,0.5,0.011299435028248588,1.0,0.5,0.011299435028248588
Comparison_of_mobile_Internet_Relay_Chat_clients.fmlbdd,2,3.5,1.0,0.09859154929577464,1.0,1.0,0.09859154929577464
Comparison_of_project_management_software.fmlbdd,1,6.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_iPod_managers.fmlbdd,1,7.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_SSH_clients.fmlbdd,1,6.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_Subversion_clients.fmlbdd,1,2.0,1.0,0.014388489208633094,1.0,1.0,0.014388489208633094
Comparison_of_SSH_servers.fmlbdd,2,4.0,0.5,0.05405405405405406,1.0,0.5,0.05405405405405406
Comparison_of_audio_formats.fmlbdd,1,8.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_HTML_editors.fmlbdd,1,7.0,0.0,0.0,1.0,0.0,0.0
Comparison_of_file_managers.fmlbdd,2,6.0,0.5,0.020202020202020204,1.0,0.5,0.020202020202020204
Comparison_of_video_converters.fmlbdd,6,6.5,0.8333333333333334,0.5645161290322581,0.6666666666666666,0.5,0.3387096774193548
Comparison_of_enterprise_bookmarking_platforms.fmlbdd,1,13.0,0.0,0.0,1.0,0.0,0.0
