ID,Smith Waterman (Simmetrics) - #clusters,Smith Waterman (Simmetrics) - average cluster size,Smith Waterman (Simmetrics) - % correct clusters,Smith Waterman (Simmetrics) - % features in a correct cluster,Levenshtein (Simmetrics) - #clusters,Levenshtein (Simmetrics) - average cluster size,Levenshtein (Simmetrics) - % correct clusters,Levenshtein (Simmetrics) - % features in a correct cluster,Wu & Palmer (WordNet) - #clusters,Wu & Palmer (WordNet) - average cluster size,Wu & Palmer (WordNet) - % correct clusters,Wu & Palmer (WordNet) - % features in a correct cluster,Path Length (WordNet) - #clusters,Path Length (WordNet) - average cluster size,Path Length (WordNet) - % correct clusters,Path Length (WordNet) - % features in a correct cluster,Wikipedia Miner metric (db_wikipedia) - #clusters,Wikipedia Miner metric (db_wikipedia) - average cluster size,Wikipedia Miner metric (db_wikipedia) - % correct clusters,Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster,Wikipedia Miner metric (db_wiktionary) - #clusters,Wikipedia Miner metric (db_wiktionary) - average cluster size,Wikipedia Miner metric (db_wiktionary) - % correct clusters,Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster,Transitive reduction metric - #clusters,Transitive reduction metric - average cluster size,Transitive reduction metric - % correct clusters,Transitive reduction metric - % features in a correct cluster
Comparison_of_desktop_publishing_software.fmlbdd,4,2.25,0.75,0.25,6,2.0,0.8333333333333334,0.4166666666666667,1,3.0,1.0,0.125,1,2.0,1.0,0.08333333333333333,3,6.333333333333333,0.6666666666666666,0.4166666666666667,2,5.0,0.5,0.08333333333333333,1,3.0,0.0,0.0
Comparison_of_Internet_forum_software.fmlbdd,7,2.4285714285714284,0.7142857142857143,0.5217391304347826,6,2.0,0.8333333333333334,0.43478260869565216,1,2.0,0.0,0.0,1,2.0,1.0,0.08695652173913043,1,11.0,0.0,0.0,2,2.0,1.0,0.17391304347826086,1,3.0,0.0,0.0
Comparison_of_photo_gallery_software.fmlbdd,12,3.8333333333333335,0.8333333333333334,0.7368421052631579,14,2.857142857142857,0.7857142857142857,0.5964912280701754,4,2.25,0.75,0.12280701754385964,6,2.1666666666666665,0.8333333333333334,0.19298245614035087,11,3.8181818181818183,0.8181818181818182,0.49122807017543857,8,2.875,1.0,0.40350877192982454,6,2.6666666666666665,0.8333333333333334,0.22807017543859648
Comparison_of_image_viewers.fmlbdd,23,3.260869565217391,0.43478260869565216,0.3229166666666667,25,2.68,0.64,0.3854166666666667,6,2.0,0.8333333333333334,0.10416666666666667,9,2.3333333333333335,1.0,0.21875,17,4.176470588235294,0.7647058823529411,0.3854166666666667,15,2.7333333333333334,0.8,0.3125,9,2.5555555555555554,0.8888888888888888,0.20833333333333334
Comparison_of_Internet_Relay_Chat_clients.fmlbdd,34,4.147058823529412,0.5294117647058824,0.39751552795031053,35,3.1142857142857143,0.7142857142857143,0.4409937888198758,13,3.0,0.5384615384615384,0.11801242236024845,17,3.411764705882353,0.6470588235294118,0.2111801242236025,14,9.428571428571429,0.5,0.17391304347826086,33,2.909090909090909,0.6363636363636364,0.34782608695652173,8,2.75,0.75,0.09937888198757763
Comparison_of_help_desk_issue_tracking_software.fmlbdd,6,5.0,0.8333333333333334,0.48717948717948717,7,3.857142857142857,0.8571428571428571,0.6410256410256411,2,3.0,1.0,0.15384615384615385,3,2.6666666666666665,1.0,0.20512820512820512,6,5.333333333333333,0.6666666666666666,0.41025641025641024,7,3.4285714285714284,1.0,0.6153846153846154,1,3.0,0.0,0.0
Comparison_of_file_comparison_tools.fmlbdd,16,3.25,0.4375,0.4406779661016949,15,2.6,0.6666666666666666,0.3898305084745763,6,2.1666666666666665,1.0,0.22033898305084745,6,2.6666666666666665,0.8333333333333334,0.23728813559322035,11,3.4545454545454546,0.6363636363636364,0.2711864406779661,12,2.3333333333333335,0.75,0.3559322033898305,3,2.6666666666666665,0.6666666666666666,0.0847457627118644
Comparison_of_relational_database_management_systems.fmlbdd,25,2.88,0.24,0.19791666666666666,22,2.909090909090909,0.2727272727272727,0.1875,11,2.4545454545454546,0.2727272727272727,0.0625,13,2.3846153846153846,0.6153846153846154,0.21875,13,3.8461538461538463,0.46153846153846156,0.1875,13,2.5384615384615383,0.6153846153846154,0.21875,6,2.3333333333333335,0.8333333333333334,0.11458333333333333
Comparison_of_genealogy_software.fmlbdd,14,2.7142857142857144,0.5,0.36,14,2.857142857142857,0.7142857142857143,0.58,7,3.857142857142857,0.7142857142857143,0.38,6,2.8333333333333335,1.0,0.34,6,4.333333333333333,0.8333333333333334,0.32,10,2.9,1.0,0.58,1,3.0,0.0,0.0
Comparison_of_remote_desktop_software.fmlbdd,18,4.111111111111111,0.6666666666666666,0.5882352941176471,16,4.1875,0.6875,0.5529411764705883,5,2.4,1.0,0.1411764705882353,8,3.625,0.75,0.2823529411764706,5,12.8,0.4,0.21176470588235294,9,6.222222222222222,0.6666666666666666,0.47058823529411764,5,2.8,0.8,0.12941176470588237
Comparison_of_reference_management_software.fmlbdd,14,2.857142857142857,0.42857142857142855,0.29508196721311475,13,2.5384615384615383,0.46153846153846156,0.2786885245901639,3,2.6666666666666665,0.6666666666666666,0.08196721311475409,6,2.1666666666666665,0.5,0.09836065573770492,7,5.428571428571429,0.2857142857142857,0.08196721311475409,9,3.111111111111111,0.5555555555555556,0.32786885245901637,2,3.0,0.5,0.04918032786885246
Comparison_of_YouTube_downloaders.fmlbdd,5,5.8,0.2,0.0425531914893617,9,3.5555555555555554,0.5555555555555556,0.2127659574468085,5,2.0,0.6,0.1276595744680851,4,2.75,0.5,0.0851063829787234,8,3.875,0.375,0.1276595744680851,6,2.5,0.5,0.14893617021276595,2,3.0,0.5,0.06382978723404255
Comparison_of_Java_virtual_machines.fmlbdd,20,2.6,0.5,0.417910447761194,18,2.611111111111111,0.6666666666666666,0.47761194029850745,5,2.8,1.0,0.208955223880597,10,2.7,0.7,0.29850746268656714,8,6.5,0.5,0.16417910447761194,11,2.727272727272727,0.8181818181818182,0.3880597014925373,5,2.4,0.8,0.13432835820895522
