ID,Mutex - #clusters,Mutex - average cluster size,Mutex - % correct clusters,Mutex - % features in a correct cluster,Xor - #clusters,Xor - average cluster size,Xor - % correct clusters,Xor - % features in a correct cluster,Or - #clusters,Or - average cluster size,Or - % correct clusters,Or - % features in a correct cluster,All - #clusters,All - average cluster size,All - % correct clusters,All - % features in a correct cluster
Comparison_of_desktop_publishing_software.fmlbdd,2,2.0,1.0,0.16666666666666666,1,6.0,1.0,0.25,0,0,N/A,0,3,3.3333333333333335,1.0,0.4166666666666667
Comparison_of_Internet_forum_software.fmlbdd,0,0,N/A,0,2,5.5,1.0,0.4782608695652174,0,0,N/A,0,2,5.5,1.0,0.4782608695652174
Comparison_of_photo_gallery_software.fmlbdd,5,6.4,1.0,0.5614035087719298,3,3.6666666666666665,1.0,0.19298245614035087,0,0,N/A,0,8,5.375,1.0,0.7543859649122807
Comparison_of_image_viewers.fmlbdd,9,7.0,1.0,0.65625,0,0,N/A,0,0,0,N/A,0,9,7.0,1.0,0.65625
Comparison_of_Internet_Relay_Chat_clients.fmlbdd,10,7.9,1.0,0.4906832298136646,2,9.0,1.0,0.11180124223602485,0,0,N/A,0,12,8.083333333333334,1.0,0.6024844720496895
Comparison_of_help_desk_issue_tracking_software.fmlbdd,1,12.0,1.0,0.3076923076923077,2,11.5,1.0,0.5897435897435898,0,0,N/A,0,3,11.666666666666666,1.0,0.8974358974358975
Comparison_of_file_comparison_tools.fmlbdd,10,2.8,1.0,0.4745762711864407,1,5.0,1.0,0.0847457627118644,0,0,N/A,0,11,3.0,1.0,0.559322033898305
Comparison_of_relational_database_management_systems.fmlbdd,4,5.75,1.0,0.23958333333333334,0,0,N/A,0,0,0,N/A,0,4,5.75,1.0,0.23958333333333334
Comparison_of_genealogy_software.fmlbdd,0,0,N/A,0,1,5.0,1.0,0.1,0,0,N/A,0,1,5.0,1.0,0.1
Comparison_of_remote_desktop_software.fmlbdd,12,5.666666666666667,1.0,0.8,0,0,N/A,0,0,0,N/A,0,12,5.666666666666667,1.0,0.8
Comparison_of_reference_management_software.fmlbdd,2,3.5,1.0,0.11475409836065574,1,15.0,1.0,0.2459016393442623,0,0,N/A,0,3,7.333333333333333,1.0,0.36065573770491804
Comparison_of_YouTube_downloaders.fmlbdd,9,2.0,1.0,0.3829787234042553,2,5.5,1.0,0.23404255319148937,0,0,N/A,0,11,2.6363636363636362,1.0,0.6170212765957447
Comparison_of_Java_virtual_machines.fmlbdd,23,3.5217391304347827,1.0,1.208955223880597,1,2.0,1.0,0.029850746268656716,0,0,N/A,0,24,3.4583333333333335,1.0,1.2388059701492538
Comparison_of_iOS_e-book_reader_software.fmlbdd,14,2.142857142857143,1.0,0.3448275862068966,1,8.0,1.0,0.09195402298850575,0,0,N/A,0,15,2.533333333333333,1.0,0.4367816091954023
Comparison_of_disk_encryption_software.fmlbdd,8,4.125,1.0,0.6226415094339622,0,0,N/A,0,0,0,N/A,0,8,4.125,1.0,0.6226415094339622
Comparison_of_documentation_generators.fmlbdd,50,3.68,1.0,1.6,1,12.0,1.0,0.10434782608695652,0,0,N/A,0,51,3.843137254901961,1.0,1.7043478260869565
Comparison_of_audio_synthesis_environments.fmlbdd,2,4.5,1.0,0.2,5,4.8,1.0,0.5333333333333333,0,0,N/A,0,7,4.714285714285714,1.0,0.7333333333333333
Comparison_of_mail_servers.fmlbdd,5,13.2,1.0,0.6111111111111112,0,0,N/A,0,0,0,N/A,0,5,13.2,1.0,0.6111111111111112
Comparison_of_open-source_operating_systems.fmlbdd,27,4.148148148148148,1.0,0.632768361581921,6,5.833333333333333,1.0,0.1977401129943503,0,0,N/A,0,33,4.454545454545454,1.0,0.8305084745762712
Comparison_of_mobile_Internet_Relay_Chat_clients.fmlbdd,1,6.0,1.0,0.08450704225352113,4,6.5,1.0,0.36619718309859156,0,0,N/A,0,5,6.4,1.0,0.4507042253521127
Comparison_of_project_management_software.fmlbdd,1,14.0,1.0,0.32558139534883723,1,9.0,1.0,0.20930232558139536,0,0,N/A,0,2,11.5,1.0,0.5348837209302325
Comparison_of_iPod_managers.fmlbdd,0,0,N/A,0,1,5.0,1.0,0.1282051282051282,0,0,N/A,0,1,5.0,1.0,0.1282051282051282
Comparison_of_SSH_clients.fmlbdd,14,2.9285714285714284,1.0,1.025,0,0,N/A,0,0,0,N/A,0,14,2.9285714285714284,1.0,1.025
Comparison_of_Subversion_clients.fmlbdd,5,15.8,1.0,0.5683453237410072,3,23.0,1.0,0.49640287769784175,0,0,N/A,0,8,18.5,1.0,1.064748201438849
Comparison_of_SSH_servers.fmlbdd,17,2.3529411764705883,1.0,1.0810810810810811,0,0,N/A,0,0,0,N/A,0,17,2.3529411764705883,1.0,1.0810810810810811
Comparison_of_audio_formats.fmlbdd,5,8.0,1.0,0.4878048780487805,1,14.0,1.0,0.17073170731707318,0,0,N/A,0,6,9.0,1.0,0.6585365853658537
Comparison_of_HTML_editors.fmlbdd,10,2.2,1.0,0.43137254901960786,1,8.0,1.0,0.1568627450980392,0,0,N/A,0,11,2.727272727272727,1.0,0.5882352941176471
Comparison_of_file_managers.fmlbdd,1,15.0,1.0,0.15151515151515152,3,5.0,1.0,0.15151515151515152,0,0,N/A,0,4,7.5,1.0,0.30303030303030304
Comparison_of_video_converters.fmlbdd,0,0,N/A,0,15,2.1333333333333333,1.0,0.5161290322580645,0,0,N/A,0,15,2.1333333333333333,1.0,0.5161290322580645
Comparison_of_enterprise_bookmarking_platforms.fmlbdd,6,2.1666666666666665,1.0,0.21666666666666667,1,3.0,1.0,0.05,0,0,N/A,0,7,2.2857142857142856,1.0,0.26666666666666666
