ID,Smith Waterman (Simmetrics) - TOP 1,Smith Waterman (Simmetrics) - TOP 2,Smith Waterman (Simmetrics) - TOP 3,Smith Waterman (Simmetrics) - TOP 4,Smith Waterman (Simmetrics) - TOP 5,Smith Waterman (Simmetrics) - Full Synthesis,Levenshtein (Simmetrics) - TOP 1,Levenshtein (Simmetrics) - TOP 2,Levenshtein (Simmetrics) - TOP 3,Levenshtein (Simmetrics) - TOP 4,Levenshtein (Simmetrics) - TOP 5,Levenshtein (Simmetrics) - Full Synthesis,Wu & Palmer (WordNet) - TOP 1,Wu & Palmer (WordNet) - TOP 2,Wu & Palmer (WordNet) - TOP 3,Wu & Palmer (WordNet) - TOP 4,Wu & Palmer (WordNet) - TOP 5,Wu & Palmer (WordNet) - Full Synthesis,Path Length (WordNet) - TOP 1,Path Length (WordNet) - TOP 2,Path Length (WordNet) - TOP 3,Path Length (WordNet) - TOP 4,Path Length (WordNet) - TOP 5,Path Length (WordNet) - Full Synthesis,Wikipedia Miner metric (db_wikipedia) - TOP 1,Wikipedia Miner metric (db_wikipedia) - TOP 2,Wikipedia Miner metric (db_wikipedia) - TOP 3,Wikipedia Miner metric (db_wikipedia) - TOP 4,Wikipedia Miner metric (db_wikipedia) - TOP 5,Wikipedia Miner metric (db_wikipedia) - Full Synthesis,Wikipedia Miner metric (db_wiktionary) - TOP 1,Wikipedia Miner metric (db_wiktionary) - TOP 2,Wikipedia Miner metric (db_wiktionary) - TOP 3,Wikipedia Miner metric (db_wiktionary) - TOP 4,Wikipedia Miner metric (db_wiktionary) - TOP 5,Wikipedia Miner metric (db_wiktionary) - Full Synthesis,Transitive reduction metric - TOP 1,Transitive reduction metric - TOP 2,Transitive reduction metric - TOP 3,Transitive reduction metric - TOP 4,Transitive reduction metric - TOP 5,Transitive reduction metric - Full Synthesis
Comparison_of_desktop_publishing_software.fmlbdd,0.391304347826087,0.6086956521739131,0.9130434782608695,1.0,1.0,0.2916666666666667,0.34782608695652173,0.6521739130434783,0.8260869565217391,0.9130434782608695,1.0,0.20833333333333334,0.34782608695652173,0.6086956521739131,0.6956521739130435,0.8260869565217391,1.0,0.16666666666666666,0.34782608695652173,0.5652173913043478,0.6956521739130435,0.782608695652174,1.0,0.16666666666666666,0.34782608695652173,0.6086956521739131,0.7391304347826086,1.0,1.0,0.375,0.30434782608695654,0.5652173913043478,0.782608695652174,1.0,1.0,0.25,0.34782608695652173,0.6086956521739131,0.8695652173913043,1.0,1.0,0.3333333333333333
Comparison_of_Internet_forum_software.fmlbdd,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.45454545454545453,0.5454545454545454,0.13043478260869565,0.13636363636363635,0.18181818181818182,0.2727272727272727,0.3181818181818182,0.4090909090909091,0.08695652173913043,0.045454545454545456,0.22727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.043478260869565216,0.09090909090909091,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.3181818181818182,0.08695652173913043,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.3181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0
Comparison_of_photo_gallery_software.fmlbdd,0.48214285714285715,0.6071428571428571,0.7857142857142857,0.9107142857142857,1.0,0.43859649122807015,0.2857142857142857,0.5357142857142857,0.6428571428571429,0.8392857142857143,1.0,0.38596491228070173,0.26785714285714285,0.48214285714285715,0.625,1.0,1.0,0.3684210526315789,0.23214285714285715,0.5,0.625,0.875,1.0,0.2807017543859649,0.3392857142857143,0.6607142857142857,0.8035714285714286,0.875,1.0,0.3157894736842105,0.14285714285714285,0.2857142857142857,0.5535714285714286,1.0,1.0,0.24561403508771928,0.6964285714285714,0.9107142857142857,0.9107142857142857,1.0,1.0,0.6666666666666666
Comparison_of_image_viewers.fmlbdd,0.23157894736842105,0.43157894736842106,0.6105263157894737,0.7473684210526316,0.8842105263157894,0.25,0.42105263157894735,0.5578947368421052,0.7157894736842105,0.8526315789473684,0.9789473684210527,0.3541666666666667,0.29473684210526313,0.5052631578947369,0.7578947368421053,0.9157894736842105,0.9578947368421052,0.22916666666666666,0.2,0.4421052631578947,0.6526315789473685,0.8736842105263158,0.9368421052631579,0.13541666666666666,0.3473684210526316,0.5578947368421052,0.6631578947368421,0.8210526315789474,0.9894736842105263,0.34375,0.3368421052631579,0.47368421052631576,0.5368421052631579,0.7789473684210526,1.0,0.2916666666666667,0.7368421052631579,0.7684210526315789,0.7684210526315789,0.9473684210526315,1.0,0.71875
Comparison_of_Internet_Relay_Chat_clients.fmlbdd,0.25625,0.50625,0.73125,0.7875,0.85,0.2484472049689441,0.19375,0.45625,0.7125,0.875,0.93125,0.18633540372670807,0.3125,0.48125,0.73125,0.8875,0.95625,0.2795031055900621,0.2875,0.575,0.7875,0.88125,0.95625,0.2608695652173913,0.2625,0.64375,0.85,0.94375,0.9875,0.2608695652173913,0.3125,0.60625,0.8125,0.9,0.98125,0.2795031055900621,0.525,0.74375,0.8875,0.925,1.0,0.5279503105590062
Comparison_of_help_desk_issue_tracking_software.fmlbdd,0.3157894736842105,0.6578947368421053,0.9210526315789473,1.0,1.0,0.3333333333333333,0.13157894736842105,0.42105263157894735,0.7631578947368421,1.0,1.0,0.10256410256410256,0.3684210526315789,0.6052631578947368,0.8421052631578947,1.0,1.0,0.358974358974359,0.4473684210526316,0.631578947368421,0.8157894736842105,1.0,1.0,0.4358974358974359,0.3157894736842105,0.5789473684210527,0.7894736842105263,1.0,1.0,0.3076923076923077,0.34210526315789475,0.6578947368421053,0.8421052631578947,1.0,1.0,0.358974358974359,0.3157894736842105,0.5789473684210527,1.0,1.0,1.0,0.3076923076923077
Comparison_of_file_comparison_tools.fmlbdd,0.13793103448275862,0.41379310344827586,0.6206896551724138,0.7413793103448276,0.7758620689655172,0.1864406779661017,0.2413793103448276,0.3620689655172414,0.5,0.6551724137931034,0.7586206896551724,0.22033898305084745,0.29310344827586204,0.3793103448275862,0.5344827586206896,0.603448275862069,0.7586206896551724,0.2711864406779661,0.25862068965517243,0.39655172413793105,0.5517241379310345,0.6206896551724138,0.7413793103448276,0.23728813559322035,0.22413793103448276,0.4482758620689655,0.5689655172413793,0.6551724137931034,0.7241379310344828,0.2033898305084746,0.15517241379310345,0.3793103448275862,0.4827586206896552,0.5517241379310345,0.7413793103448276,0.1694915254237288,0.43103448275862066,0.5,0.5862068965517241,0.7241379310344828,0.8103448275862069,0.423728813559322
Comparison_of_relational_database_management_systems.fmlbdd,0.15789473684210525,0.29473684210526313,0.3894736842105263,0.43157894736842106,0.5368421052631579,0.19791666666666666,0.07368421052631578,0.12631578947368421,0.23157894736842105,0.35789473684210527,0.42105263157894735,0.0625,0.17894736842105263,0.25263157894736843,0.3157894736842105,0.42105263157894735,0.49473684210526314,0.14583333333333334,0.21052631578947367,0.29473684210526313,0.4105263157894737,0.4842105263157895,0.5684210526315789,0.15625,0.22105263157894736,0.3684210526315789,0.43157894736842106,0.5578947368421052,0.6210526315789474,0.20833333333333334,0.1368421052631579,0.3157894736842105,0.4105263157894737,0.49473684210526314,0.6105263157894737,0.125,0.2631578947368421,0.37894736842105264,0.4,0.43157894736842106,0.4842105263157895,0.2604166666666667
Comparison_of_genealogy_software.fmlbdd,0.14285714285714285,0.24489795918367346,0.4489795918367347,0.6326530612244898,0.7755102040816326,0.12,0.22448979591836735,0.40816326530612246,0.5102040816326531,0.7142857142857143,0.8367346938775511,0.26,0.2653061224489796,0.30612244897959184,0.40816326530612246,0.6122448979591837,0.8163265306122449,0.26,0.2653061224489796,0.30612244897959184,0.4489795918367347,0.5714285714285714,0.8163265306122449,0.26,0.22448979591836735,0.3469387755102041,0.42857142857142855,0.6122448979591837,0.8367346938775511,0.22,0.14285714285714285,0.2653061224489796,0.40816326530612246,0.5714285714285714,0.7755102040816326,0.16,0.10204081632653061,0.30612244897959184,0.40816326530612246,0.7551020408163265,0.7755102040816326,0.1
Comparison_of_remote_desktop_software.fmlbdd,0.4642857142857143,0.8690476190476191,1.0,1.0,1.0,0.611764705882353,0.5238095238095238,0.8333333333333334,1.0,1.0,1.0,0.5647058823529412,0.6666666666666666,0.7380952380952381,1.0,1.0,1.0,0.7647058823529411,0.6190476190476191,0.7380952380952381,1.0,1.0,1.0,0.7411764705882353,0.6547619047619048,0.7857142857142857,1.0,1.0,1.0,0.7176470588235294,0.5476190476190477,0.75,1.0,1.0,1.0,0.7058823529411765,0.6190476190476191,1.0,1.0,1.0,1.0,0.6235294117647059
Comparison_of_reference_management_software.fmlbdd,0.13333333333333333,0.21666666666666667,0.35,0.45,0.55,0.14754098360655737,0.16666666666666666,0.23333333333333334,0.2833333333333333,0.43333333333333335,0.5166666666666667,0.11475409836065574,0.11666666666666667,0.18333333333333332,0.26666666666666666,0.31666666666666665,0.4,0.04918032786885246,0.1,0.16666666666666666,0.23333333333333334,0.36666666666666664,0.45,0.03278688524590164,0.13333333333333333,0.21666666666666667,0.26666666666666666,0.4,0.4666666666666667,0.13114754098360656,0.13333333333333333,0.16666666666666666,0.26666666666666666,0.43333333333333335,0.5,0.11475409836065574,0.2833333333333333,0.36666666666666664,0.4666666666666667,0.55,0.6333333333333333,0.2786885245901639
Comparison_of_YouTube_downloaders.fmlbdd,0.13043478260869565,0.2608695652173913,0.3695652173913043,0.391304347826087,0.5434782608695652,0.1702127659574468,0.13043478260869565,0.1956521739130435,0.21739130434782608,0.2826086956521739,0.34782608695652173,0.1276595744680851,0.06521739130434782,0.08695652173913043,0.17391304347826086,0.32608695652173914,0.41304347826086957,0.0425531914893617,0.0,0.043478260869565216,0.15217391304347827,0.2608695652173913,0.41304347826086957,0.02127659574468085,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.32608695652173914,0.391304347826087,0.0425531914893617,0.06521739130434782,0.17391304347826086,0.2391304347826087,0.2826086956521739,0.2826086956521739,0.1276595744680851,0.21739130434782608,0.32608695652173914,0.32608695652173914,0.32608695652173914,0.32608695652173914,0.19148936170212766
Comparison_of_Java_virtual_machines.fmlbdd,0.3181818181818182,0.45454545454545453,0.5606060606060606,0.6212121212121212,0.8181818181818182,0.3582089552238806,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.5909090909090909,0.7272727272727273,0.22388059701492538,0.09090909090909091,0.19696969696969696,0.36363636363636365,0.5,0.7121212121212122,0.08955223880597014,0.07575757575757576,0.19696969696969696,0.3939393939393939,0.5,0.6818181818181818,0.08955223880597014,0.5151515151515151,0.5909090909090909,0.6363636363636364,0.8181818181818182,0.9242424242424242,0.5074626865671642,0.15151515151515152,0.22727272727272727,0.3484848484848485,0.5757575757575758,0.7272727272727273,0.14925373134328357,0.3939393939393939,0.5,0.5606060606060606,0.5757575757575758,0.7424242424242424,0.3880597014925373
Comparison_of_iOS_e-book_reader_software.fmlbdd,0.16279069767441862,0.20930232558139536,0.37209302325581395,0.43023255813953487,0.46511627906976744,0.16091954022988506,0.13953488372093023,0.22093023255813954,0.29069767441860467,0.38372093023255816,0.46511627906976744,0.14942528735632185,0.03488372093023256,0.11627906976744186,0.20930232558139536,0.23255813953488372,0.27906976744186046,0.04597701149425287,0.10465116279069768,0.16279069767441862,0.20930232558139536,0.2558139534883721,0.29069767441860467,0.10344827586206896,0.1511627906976744,0.2441860465116279,0.29069767441860467,0.3953488372093023,0.5348837209302325,0.14942528735632185,0.046511627906976744,0.18604651162790697,0.26744186046511625,0.4069767441860465,0.5232558139534884,0.05747126436781609,0.13953488372093023,0.3023255813953488,0.3953488372093023,0.4186046511627907,0.5348837209302325,0.13793103448275862
Comparison_of_disk_encryption_software.fmlbdd,0.1346153846153846,0.28846153846153844,0.40384615384615385,0.5961538461538461,0.7307692307692307,0.1320754716981132,0.17307692307692307,0.36538461538461536,0.5192307692307693,0.6346153846153846,0.7307692307692307,0.1509433962264151,0.07692307692307693,0.25,0.4807692307692308,0.5961538461538461,0.6346153846153846,0.07547169811320754,0.11538461538461539,0.3269230769230769,0.5192307692307693,0.5769230769230769,0.6346153846153846,0.07547169811320754,0.34615384615384615,0.46153846153846156,0.5576923076923077,0.6730769230769231,0.75,0.32075471698113206,0.11538461538461539,0.25,0.40384615384615385,0.4423076923076923,0.6346153846153846,0.11320754716981132,0.25,0.34615384615384615,0.4807692307692308,0.5384615384615384,0.7307692307692307,0.24528301886792453
Comparison_of_documentation_generators.fmlbdd,0.24561403508771928,0.3684210526315789,0.49122807017543857,0.5964912280701754,0.6754385964912281,0.24347826086956523,0.21929824561403508,0.35964912280701755,0.49122807017543857,0.6140350877192983,0.7105263157894737,0.22608695652173913,0.19298245614035087,0.3157894736842105,0.3333333333333333,0.3684210526315789,0.4649122807017544,0.19130434782608696,0.2719298245614035,0.40350877192982454,0.43859649122807015,0.5,0.5526315789473685,0.2608695652173913,0.2631578947368421,0.39473684210526316,0.45614035087719296,0.45614035087719296,0.5175438596491229,0.2608695652173913,0.24561403508771928,0.4298245614035088,0.5175438596491229,0.631578947368421,0.6842105263157895,0.25217391304347825,0.4649122807017544,0.5964912280701754,0.5964912280701754,0.6403508771929824,0.6842105263157895,0.46956521739130436
Comparison_of_audio_synthesis_environments.fmlbdd,0.1590909090909091,0.2727272727272727,0.4318181818181818,0.5,0.7272727272727273,0.2,0.13636363636363635,0.3409090909090909,0.5,0.5909090909090909,0.6818181818181818,0.17777777777777778,0.3409090909090909,0.6363636363636364,0.6590909090909091,0.7727272727272727,0.8863636363636364,0.3111111111111111,0.45454545454545453,0.5681818181818182,0.6590909090909091,0.6818181818181818,0.8636363636363636,0.4222222222222222,0.3181818181818182,0.38636363636363635,0.4772727272727273,0.7727272727272727,0.8181818181818182,0.28888888888888886,0.5681818181818182,0.6363636363636364,0.75,0.8181818181818182,0.9090909090909091,0.6,0.5,0.6136363636363636,0.7045454545454546,0.75,0.8409090909090909,0.5111111111111111
Comparison_of_mail_servers.fmlbdd,0.411214953271028,0.5981308411214953,0.794392523364486,0.9065420560747663,1.0,0.4074074074074074,0.2803738317757009,0.42990654205607476,0.616822429906542,0.822429906542056,1.0,0.3055555555555556,0.29906542056074764,0.514018691588785,0.7850467289719626,0.9065420560747663,1.0,0.32407407407407407,0.3925233644859813,0.5607476635514018,0.8317757009345794,0.9345794392523364,1.0,0.4444444444444444,0.5046728971962616,0.6261682242990654,0.7757009345794392,0.9719626168224299,1.0,0.5,0.14018691588785046,0.38317757009345793,0.8691588785046729,0.9252336448598131,1.0,0.19444444444444445,0.6915887850467289,0.794392523364486,0.9626168224299065,1.0,1.0,0.6944444444444444
Comparison_of_open-source_operating_systems.fmlbdd,0.24431818181818182,0.375,0.4602272727272727,0.6079545454545454,0.7443181818181818,0.3107344632768362,0.18181818181818182,0.32954545454545453,0.42045454545454547,0.5681818181818182,0.6704545454545454,0.20903954802259886,0.25,0.375,0.5852272727272727,0.6818181818181818,0.7386363636363636,0.2598870056497175,0.30113636363636365,0.42613636363636365,0.5625,0.6590909090909091,0.7272727272727273,0.3107344632768362,0.2897727272727273,0.4943181818181818,0.6079545454545454,0.6931818181818182,0.8352272727272727,0.2824858757062147,0.23295454545454544,0.3465909090909091,0.45454545454545453,0.5681818181818182,0.6988636363636364,0.24858757062146894,0.6931818181818182,0.6931818181818182,0.7215909090909091,0.7613636363636364,0.7897727272727273,0.6892655367231638
Comparison_of_mobile_Internet_Relay_Chat_clients.fmlbdd,0.32857142857142857,0.6142857142857143,0.7,0.8142857142857143,0.8428571428571429,0.18309859154929578,0.24285714285714285,0.5285714285714286,0.6857142857142857,0.7428571428571429,0.7857142857142857,0.11267605633802817,0.4,0.5714285714285714,0.7,0.7714285714285715,0.8142857142857143,0.2112676056338028,0.4,0.5714285714285714,0.6857142857142857,0.7571428571428571,0.8428571428571429,0.2112676056338028,0.37142857142857144,0.6571428571428571,0.7857142857142857,0.8428571428571429,0.9285714285714286,0.28169014084507044,0.5571428571428572,0.7142857142857143,0.8714285714285714,0.9,0.9714285714285714,0.2535211267605634,0.6714285714285714,0.8714285714285714,0.9142857142857143,0.9857142857142858,0.9857142857142858,0.6619718309859155
