Stats on input FMs
"","mean","median","min","max"
"#features",72.4333333333333,60.5,23,177
"depth of hierarchy",3.96666666666667,4,3,4
"#edges in BIG",580.5,422,115,2012
"#edges in reduced BIG",316.566666666667,235,0,1352
"parent candidates (min)",6.1,5.5,1,22
"parent candidates (max)",12.5666666666667,8,3,86
"parent candidates (average)",8.29554728375759,6.92986425339367,2.57647058823529,23.1264367816092
"% parents kept after reducing BIG",0.83808277666554,0.880677966101695,0,0.985611510791367

Full synthesis
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - TOP 1",0.232465731190993,0.186658506731946,0.0769230769230769,0.572463768115942
"Smith Waterman (Simmetrics) - TOP 2",0.398589038774136,0.371710526315789,0.0909090909090909,0.869047619047619
"Smith Waterman (Simmetrics) - TOP 3",0.556000401365361,0.485614035087719,0.227272727272727,1
"Smith Waterman (Simmetrics) - TOP 4",0.654550873033142,0.614583333333333,0.360655737704918,1
"Smith Waterman (Simmetrics) - TOP 5",0.755686394124867,0.775686136523575,0.406779661016949,1
"Smith Waterman (Simmetrics) - Full Synthesis",0.240125521330842,0.198958333333333,0.0967741935483871,0.633093525179856
"Levenshtein (Simmetrics) - TOP 1",0.20210689232637,0.177643784786642,0,0.523809523809524
"Levenshtein (Simmetrics) - TOP 2",0.373358055191488,0.358395989974937,0.126315789473684,0.833333333333333
"Levenshtein (Simmetrics) - TOP 3",0.515550161015979,0.5,0.19672131147541,1
"Levenshtein (Simmetrics) - TOP 4",0.633375084225868,0.62280701754386,0.282608695652174,1
"Levenshtein (Simmetrics) - TOP 5",0.737842875407991,0.744694960212201,0.347826086956522,1
"Levenshtein (Simmetrics) - Full Synthesis",0.193511017690508,0.17979797979798,0,0.564705882352941
"Wu & Palmer (WordNet) - TOP 1",0.220937463950243,0.193713450292398,0.0123456790123457,0.666666666666667
"Wu & Palmer (WordNet) - TOP 2",0.370228576300856,0.345394736842105,0.0869565217391304,0.738095238095238
"Wu & Palmer (WordNet) - TOP 3",0.510496882545405,0.490384615384615,0.173913043478261,1
"Wu & Palmer (WordNet) - TOP 4",0.621932218775222,0.607846586910626,0.232558139534884,1
"Wu & Palmer (WordNet) - TOP 5",0.717683379394246,0.748628526645768,0.27906976744186,1
"Wu & Palmer (WordNet) - Full Synthesis",0.207562317098449,0.190246768507638,0.024390243902439,0.764705882352941
"Path Length (WordNet) - TOP 1",0.247320877331679,0.245381773399015,0,0.619047619047619
"Path Length (WordNet) - TOP 2",0.397599689423798,0.400030248033878,0.0434782608695652,0.738095238095238
"Path Length (WordNet) - TOP 3",0.531855100550239,0.535477453580902,0.152173913043478,1
"Path Length (WordNet) - TOP 4",0.630159679109513,0.63929219600726,0.227272727272727,1
"Path Length (WordNet) - TOP 5",0.73372645777747,0.765426497277677,0.290697674418605,1
"Path Length (WordNet) - Full Synthesis",0.23249269458154,0.224277870613512,0.0212765957446809,0.741176470588235
"Wikipedia Miner metric (db_wikipedia) - TOP 1",0.26928234987425,0.276465311004785,0.0434782608695652,0.654761904761905
"Wikipedia Miner metric (db_wikipedia) - TOP 2",0.416963481042871,0.394736842105263,0.0434782608695652,0.785714285714286
"Wikipedia Miner metric (db_wikipedia) - TOP 3",0.541285660095036,0.528589993502274,0.136363636363636,1
"Wikipedia Miner metric (db_wikipedia) - TOP 4",0.647885254664022,0.637586206896552,0.227272727272727,1
"Wikipedia Miner metric (db_wikipedia) - TOP 5",0.739432856653748,0.799090909090909,0.295081967213115,1
"Wikipedia Miner metric (db_wikipedia) - Full Synthesis",0.263107787141244,0.271279853031231,0,0.717647058823529
"Wikipedia Miner metric (db_wiktionary) - TOP 1",0.224380075360981,0.199786324786325,0.0465116279069767,0.568181818181818
"Wikipedia Miner metric (db_wiktionary) - TOP 2",0.379664802368527,0.339962121212121,0.0983606557377049,0.75
"Wikipedia Miner metric (db_wiktionary) - TOP 3",0.538941384754975,0.506410256410256,0.131147540983607,1
"Wikipedia Miner metric (db_wiktionary) - TOP 4",0.657571994922961,0.604871794871795,0.19672131147541,1
"Wikipedia Miner metric (db_wiktionary) - TOP 5",0.746429560837934,0.75844475721323,0.19672131147541,1
"Wikipedia Miner metric (db_wiktionary) - Full Synthesis",0.227219108694928,0.190245478036176,0.0574712643678161,0.705882352941177
"Transitive reduction metric - TOP 1",0.405640773541208,0.352484472049689,0,1
"Transitive reduction metric - TOP 2",0.526134223894833,0.5,0,1
"Transitive reduction metric - TOP 3",0.610559649471213,0.573406478578892,0,1
"Transitive reduction metric - TOP 4",0.690460349336604,0.737068965517241,0,1
"Transitive reduction metric - TOP 5",0.750111300824953,0.800058777429467,0,1
"Transitive reduction metric - Full Synthesis",0.398644264759929,0.329457364341085,0,0.985611510791367

Full synthesis (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - TOP 1",0.161891082396464,0.144558270676692,0.0454545454545454,0.404761904761905
"Random - TOP 2",0.323143793502383,0.289116541353384,0.0909090909090909,0.797619047619048
"Random - TOP 3",0.476604924208026,0.433674812030075,0.136363636363636,1
"Random - TOP 4",0.60563290599757,0.578233082706767,0.181818181818182,1
"Random - TOP 5",0.715361592716801,0.722791353383459,0.227272727272727,1
"Random - Full Synthesis",0.158700284304175,0.13953488372093,0,0.588235294117647

Full synthesis on reduced BIG
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - TOP 1",0.426589447103101,0.353571428571429,0.0769230769230769,1
"Smith Waterman (Simmetrics) - TOP 2",0.549248706655717,0.534632034632035,0.0909090909090909,1
"Smith Waterman (Simmetrics) - TOP 3",0.669902550583299,0.638357256778309,0.227272727272727,1
"Smith Waterman (Simmetrics) - TOP 4",0.739713978490672,0.734573502722323,0.360655737704918,1
"Smith Waterman (Simmetrics) - TOP 5",0.812518688999481,0.866477272727273,0.442622950819672,1
"Smith Waterman (Simmetrics) - Full Synthesis",0.431270277093739,0.358585858585859,0.0967741935483871,1
"Levenshtein (Simmetrics) - TOP 1",0.410452514766095,0.346989966555184,0.0327868852459016,0.985507246376812
"Levenshtein (Simmetrics) - TOP 2",0.530298167437829,0.477226720647773,0.114754098360656,1
"Levenshtein (Simmetrics) - TOP 3",0.62948824855372,0.609649122807018,0.213114754098361,1
"Levenshtein (Simmetrics) - TOP 4",0.717780177548112,0.708020050125313,0.318181818181818,1
"Levenshtein (Simmetrics) - TOP 5",0.795381240603894,0.835034013605442,0.369565217391304,1
"Levenshtein (Simmetrics) - Full Synthesis",0.398443880202309,0.341528492471889,0.0483870967741935,0.985611510791367
"Wu & Palmer (WordNet) - TOP 1",0.442371905685682,0.362781954887218,0.0454545454545455,1
"Wu & Palmer (WordNet) - TOP 2",0.550248789627368,0.529040404040404,0.209302325581395,1
"Wu & Palmer (WordNet) - TOP 3",0.636821554890143,0.652298850574713,0.267441860465116,1
"Wu & Palmer (WordNet) - TOP 4",0.71997421346738,0.734649122807018,0.27906976744186,1
"Wu & Palmer (WordNet) - TOP 5",0.789081348678734,0.8620337995338,0.313953488372093,1
"Wu & Palmer (WordNet) - Full Synthesis",0.425860671014953,0.341103341103341,0.0434782608695652,1
"Path Length (WordNet) - TOP 1",0.454685452667986,0.399350649350649,0.0909090909090909,1
"Path Length (WordNet) - TOP 2",0.562808735362371,0.549671592775041,0.181818181818182,1
"Path Length (WordNet) - TOP 3",0.651241877616309,0.654509283819629,0.227272727272727,1
"Path Length (WordNet) - TOP 4",0.724423783265972,0.72008547008547,0.227272727272727,1
"Path Length (WordNet) - TOP 5",0.801480543482983,0.850378787878788,0.318181818181818,1
"Path Length (WordNet) - Full Synthesis",0.435726596053117,0.351732013703845,0.0869565217391304,1
"Wikipedia Miner metric (db_wikipedia) - TOP 1",0.453793434138759,0.370614035087719,0.0454545454545455,0.978260869565217
"Wikipedia Miner metric (db_wikipedia) - TOP 2",0.556516462398586,0.558704453441295,0.114754098360656,1
"Wikipedia Miner metric (db_wikipedia) - TOP 3",0.633412146559097,0.649122807017544,0.136363636363636,1
"Wikipedia Miner metric (db_wikipedia) - TOP 4",0.715062334919228,0.727453580901857,0.227272727272727,1
"Wikipedia Miner metric (db_wikipedia) - TOP 5",0.7868092005288,0.825757575757576,0.295081967213115,1
"Wikipedia Miner metric (db_wikipedia) - Full Synthesis",0.44366657352494,0.373546511627907,0,0.97841726618705
