ID,#features,depth of hierarchy,#edges in BIG,#edges in reduced BIG,parent candidates (min),parent candidates (max),parent candidates (average),% parents kept after reducing BIG
Comparison_of_desktop_publishing_software.fmlbdd,24,4,115,95,4,5,4.791666666666667,0.7916666666666666
Comparison_of_Internet_forum_software.fmlbdd,23,4,506,0,22,22,22.0,0.0
Comparison_of_photo_gallery_software.fmlbdd,57,4,258,110,3,5,4.526315789473684,0.9298245614035088
Comparison_of_image_viewers.fmlbdd,96,4,536,211,4,6,5.583333333333333,0.9479166666666666
Comparison_of_Internet_Relay_Chat_clients.fmlbdd,161,4,857,371,3,7,5.3229813664596275,0.968944099378882
Comparison_of_help_desk_issue_tracking_software.fmlbdd,39,3,152,140,3,4,3.8974358974358974,0.8974358974358975
Comparison_of_file_comparison_tools.fmlbdd,59,4,424,256,6,8,7.186440677966102,0.8813559322033898
Comparison_of_relational_database_management_systems.fmlbdd,96,4,1059,795,10,12,11.03125,0.8854166666666666
Comparison_of_genealogy_software.fmlbdd,50,4,294,264,5,6,5.88,0.88
Comparison_of_remote_desktop_software.fmlbdd,85,4,219,115,1,3,2.5764705882352943,0.9764705882352941
Comparison_of_reference_management_software.fmlbdd,61,4,615,375,9,11,10.081967213114755,0.8360655737704918
Comparison_of_YouTube_downloaders.fmlbdd,47,4,425,254,8,10,9.042553191489361,0.7659574468085106
Comparison_of_Java_virtual_machines.fmlbdd,67,4,420,246,5,7,6.268656716417911,0.9104477611940298
Comparison_of_iOS_e-book_reader_software.fmlbdd,87,4,2012,1352,9,86,23.126436781609197,0.7126436781609196
Comparison_of_disk_encryption_software.fmlbdd,53,4,375,256,6,8,7.0754716981132075,0.8679245283018868
Comparison_of_documentation_generators.fmlbdd,115,4,1073,578,8,10,9.330434782608696,0.9217391304347826
Comparison_of_audio_synthesis_environments.fmlbdd,45,4,371,163,7,9,8.244444444444444,0.8222222222222222
Comparison_of_mail_servers.fmlbdd,108,4,499,203,3,5,4.62037037037037,0.9629629629629629
Comparison_of_open-source_operating_systems.fmlbdd,177,4,1411,529,6,10,7.971751412429379,0.9548022598870056
Comparison_of_mobile_Internet_Relay_Chat_clients.fmlbdd,71,4,374,190,2,8,5.267605633802817,0.9154929577464789
Comparison_of_project_management_software.fmlbdd,43,4,252,222,5,6,5.8604651162790695,0.8604651162790697
Comparison_of_iPod_managers.fmlbdd,39,4,266,224,6,7,6.82051282051282,0.8205128205128205
Comparison_of_SSH_clients.fmlbdd,40,4,234,204,5,6,5.85,0.85
Comparison_of_Subversion_clients.fmlbdd,139,4,405,145,1,3,2.9136690647482015,0.9856115107913669
Comparison_of_SSH_servers.fmlbdd,37,4,226,146,5,7,6.108108108108108,0.8108108108108109
Comparison_of_audio_formats.fmlbdd,82,4,768,137,7,10,9.365853658536585,0.9024390243902439
Comparison_of_HTML_editors.fmlbdd,51,4,359,254,6,8,7.03921568627451,0.8627450980392157
Comparison_of_file_managers.fmlbdd,99,4,1040,698,9,13,10.505050505050505,0.8888888888888888
Comparison_of_video_converters.fmlbdd,62,4,1095,449,3,61,17.661290322580644,0.5483870967741935
Comparison_of_enterprise_bookmarking_platforms.fmlbdd,60,4,775,515,12,14,12.916666666666666,0.7833333333333333
