ID,Smith Waterman (Simmetrics) - #clusters,Smith Waterman (Simmetrics) - average cluster size,Smith Waterman (Simmetrics) - % correct clusters,Smith Waterman (Simmetrics) - % features in a correct cluster,Levenshtein (Simmetrics) - #clusters,Levenshtein (Simmetrics) - average cluster size,Levenshtein (Simmetrics) - % correct clusters,Levenshtein (Simmetrics) - % features in a correct cluster,Wu & Palmer (WordNet) - #clusters,Wu & Palmer (WordNet) - average cluster size,Wu & Palmer (WordNet) - % correct clusters,Wu & Palmer (WordNet) - % features in a correct cluster,Path Length (WordNet) - #clusters,Path Length (WordNet) - average cluster size,Path Length (WordNet) - % correct clusters,Path Length (WordNet) - % features in a correct cluster,Wikipedia Miner metric (db_wikipedia) - #clusters,Wikipedia Miner metric (db_wikipedia) - average cluster size,Wikipedia Miner metric (db_wikipedia) - % correct clusters,Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster,Wikipedia Miner metric (db_wiktionary) - #clusters,Wikipedia Miner metric (db_wiktionary) - average cluster size,Wikipedia Miner metric (db_wiktionary) - % correct clusters,Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster,Transitive reduction metric - #clusters,Transitive reduction metric - average cluster size,Transitive reduction metric - % correct clusters,Transitive reduction metric - % features in a correct cluster
model_20130311_1184229274,1,2.0,1.0,0.2,1,2.0,1.0,0.2,1,4.0,0.0,0.0,1,2.0,1.0,0.2,2,3.5,0.5,0.2,3,2.0,1.0,0.6,1,3.0,0.0,0.0
model_20130917_1805517149,3,2.3333333333333335,0.6666666666666666,0.38461538461538464,2,2.5,0.5,0.23076923076923078,1,3.0,1.0,0.23076923076923078,2,2.0,1.0,0.3076923076923077,2,2.5,1.0,0.38461538461538464,3,2.0,1.0,0.46153846153846156,3,2.6666666666666665,0.6666666666666666,0.38461538461538464
model_20131206_656913635,2,2.0,0.5,0.2,2,2.5,0.0,0.0,1,2.0,1.0,0.2,0,0,N/A,0,2,2.0,0.5,0.2,0,0,N/A,0,1,3.0,0.0,0.0
model_20110127_1318390760,2,2.0,1.0,0.3076923076923077,4,2.5,0.5,0.38461538461538464,1,2.0,1.0,0.15384615384615385,2,2.0,1.0,0.3076923076923077,2,3.0,0.5,0.15384615384615385,1,3.0,1.0,0.23076923076923078,1,3.0,0.0,0.0
model_20131122_1083650489,5,2.8,0.8,0.6,4,3.0,0.75,0.4666666666666667,5,2.6,0.4,0.3333333333333333,4,3.0,0.25,0.2,6,2.0,0.5,0.4,4,3.0,0.5,0.26666666666666666,1,3.0,0.0,0.0
model_20100308_1032655961,3,2.6666666666666665,0.3333333333333333,0.13333333333333333,3,2.6666666666666665,0.3333333333333333,0.13333333333333333,3,2.6666666666666665,0.0,0.0,2,2.5,0.0,0.0,2,4.5,0.0,0.0,3,2.0,0.3333333333333333,0.13333333333333333,2,2.5,0.5,0.13333333333333333
model_20120828_1516795545,4,2.0,0.5,0.3076923076923077,2,2.0,0.5,0.15384615384615385,2,2.5,0.0,0.0,2,2.0,1.0,0.3076923076923077,2,2.0,0.5,0.15384615384615385,2,2.0,1.0,0.3076923076923077,2,2.5,0.5,0.15384615384615385
model_20110525_564104612,4,5.0,0.0,0.0,5,4.4,0.0,0.0,5,4.2,0.0,0.0,5,3.8,0.0,0.0,4,4.5,0.0,0.0,5,4.0,0.0,0.0,5,2.6,0.4,0.18518518518518517
model_20121213_681234650,9,3.0,0.4444444444444444,0.2727272727272727,8,2.875,0.25,0.15151515151515152,5,2.8,0.2,0.06060606060606061,7,2.857142857142857,0.2857142857142857,0.15151515151515152,7,3.0,0.42857142857142855,0.21212121212121213,6,3.0,0.5,0.21212121212121213,6,2.8333333333333335,0.5,0.24242424242424243
model_20130106_749900457,6,2.1666666666666665,0.6666666666666666,0.38095238095238093,3,2.0,1.0,0.2857142857142857,2,2.0,0.5,0.09523809523809523,1,2.0,0.0,0.0,2,6.0,0.5,0.09523809523809523,2,2.0,0.5,0.09523809523809523,2,3.0,1.0,0.2857142857142857
