ID,Mutex - #clusters,Mutex - average cluster size,Mutex - % correct clusters,Mutex - % features in a correct cluster,Xor - #clusters,Xor - average cluster size,Xor - % correct clusters,Xor - % features in a correct cluster,Or - #clusters,Or - average cluster size,Or - % correct clusters,Or - % features in a correct cluster,All - #clusters,All - average cluster size,All - % correct clusters,All - % features in a correct cluster
model_20130311_1184229274,0,0,N/A,0,1,2.0,1.0,0.2,0,0,N/A,0,1,2.0,1.0,0.2
model_20130917_1805517149,1,2.0,1.0,0.15384615384615385,0,0,N/A,0,5,2.4,0.6,0.5384615384615384,6,2.3333333333333335,0.6666666666666666,0.6923076923076923
model_20131206_656913635,1,2.0,0.0,0.0,0,0,N/A,0,0,0,N/A,0,1,2.0,0.0,0.0
model_20110127_1318390760,0,0,N/A,0,1,3.0,1.0,0.23076923076923078,1,2.0,1.0,0.15384615384615385,2,2.5,1.0,0.38461538461538464
model_20131122_1083650489,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20100308_1032655961,0,0,N/A,0,1,2.0,1.0,0.13333333333333333,1,2.0,1.0,0.13333333333333333,2,2.0,1.0,0.26666666666666666
model_20120828_1516795545,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.15384615384615385,1,2.0,1.0,0.15384615384615385
model_20110525_564104612,0,0,N/A,0,1,2.0,1.0,0.07407407407407407,1,6.0,1.0,0.2222222222222222,2,4.0,1.0,0.2962962962962963
model_20121213_681234650,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20130106_749900457,0,0,N/A,0,2,4.0,1.0,0.38095238095238093,2,4.0,1.0,0.38095238095238093,4,4.0,1.0,0.7619047619047619
model_20100529_1010171189,0,0,N/A,0,3,3.3333333333333335,1.0,0.45454545454545453,0,0,N/A,0,3,3.3333333333333335,1.0,0.45454545454545453
model_20100324_1996898492,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20110823_1386366267,0,0,N/A,0,1,3.0,1.0,0.2,0,0,N/A,0,1,3.0,1.0,0.2
model_20110525_1619420630,1,2.0,1.0,0.044444444444444446,8,2.25,0.75,0.3111111111111111,2,2.5,1.0,0.1111111111111111,11,2.272727272727273,0.8181818181818182,0.4666666666666667
model_20120202_1596034358,0,0,N/A,0,0,0,N/A,0,1,3.0,1.0,0.3,1,3.0,1.0,0.3
model_20110722_419227445,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20121219_629525870,0,0,N/A,0,0,0,N/A,0,2,2.0,0.0,0.0,2,2.0,0.0,0.0
model_20120411_196667302,0,0,N/A,0,3,3.0,1.0,0.34615384615384615,0,0,N/A,0,3,3.0,1.0,0.34615384615384615
model_20120824_761159432,0,0,N/A,0,10,2.8,0.4,0.43478260869565216,2,2.5,0.0,0.0,12,2.75,0.3333333333333333,0.43478260869565216
car_fm,1,2.0,1.0,0.14285714285714285,1,3.0,1.0,0.21428571428571427,2,2.0,0.0,0.0,4,2.25,0.5,0.35714285714285715
REAL-FM-15,2,2.5,1.0,0.2,3,2.0,1.0,0.24,2,3.0,0.5,0.08,7,2.4285714285714284,0.8571428571428571,0.52
model_20130716_384525556,0,0,N/A,0,4,2.25,1.0,0.5294117647058824,0,0,N/A,0,4,2.25,1.0,0.5294117647058824
model_20100822_281357717,1,2.0,1.0,0.13333333333333333,3,2.0,1.0,0.4,2,2.0,1.0,0.26666666666666666,6,2.0,1.0,0.8
model_20131129_1765219729,1,2.0,0.0,0.0,1,3.0,1.0,0.3,1,2.0,1.0,0.2,3,2.3333333333333335,0.6666666666666666,0.5
model_20100805_1484639410,1,2.0,1.0,0.06451612903225806,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.06451612903225806
REAL-FM-9,0,0,N/A,0,1,2.0,1.0,0.14285714285714285,2,2.5,0.5,0.14285714285714285,3,2.3333333333333335,0.6666666666666666,0.2857142857142857
model_20110428_553405269,0,0,N/A,0,8,2.25,0.75,0.3783783783783784,2,2.0,0.0,0.0,10,2.2,0.6,0.3783783783783784
model_20120920_383492576,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20110203_2097159983,0,0,N/A,0,0,0,N/A,0,1,3.0,1.0,0.16666666666666666,1,3.0,1.0,0.16666666666666666
model_20101111_1790887308,1,2.0,0.0,0.0,0,0,N/A,0,0,0,N/A,0,1,2.0,0.0,0.0
model_20110306_314567479,0,0,N/A,0,0,0,N/A,0,1,5.0,1.0,0.35714285714285715,1,5.0,1.0,0.35714285714285715
model_20110428_1131293346,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20100712_329430908,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20120806_904481092,0,0,N/A,0,1,3.0,1.0,0.17647058823529413,1,3.0,1.0,0.17647058823529413,2,3.0,1.0,0.35294117647058826
model_20120328_1309817018,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.14285714285714285,1,2.0,1.0,0.14285714285714285
model_20091206_1647557456,0,0,N/A,0,0,0,N/A,0,1,4.0,1.0,0.4,1,4.0,1.0,0.4
model_20100824_837146809,0,0,N/A,0,0,0,N/A,0,3,2.0,0.3333333333333333,0.09090909090909091,3,2.0,0.3333333333333333,0.09090909090909091
