Stats on input FMs
"","mean","median","min","max"
"#features",17.5714285714286,15,10,56
"depth of hierarchy",3.77777777777778,4,3,11
"#edges in BIG",131.650793650794,79.5,20,1513
"#edges in reduced BIG",54.7857142857143,33.5,0,449
"parent candidates (min)",5.06349206349206,4,0,21
"parent candidates (max)",8.11904761904762,7,2,36
"parent candidates (average)",6.31998148100817,5.53571428571429,1.5625,27.0178571428571
"% parents kept after reducing BIG",0.560649341610739,0.590909090909091,0,0.9375

Full synthesis
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - TOP 1",0.320708160123124,0.272727272727273,0,1
"Smith Waterman (Simmetrics) - TOP 2",0.499919616620419,0.488095238095238,0,1
"Smith Waterman (Simmetrics) - TOP 3",0.66307860542086,0.69375,0,1
"Smith Waterman (Simmetrics) - TOP 4",0.770238142407389,0.833333333333333,0.181818181818182,1
"Smith Waterman (Simmetrics) - TOP 5",0.838409272907734,0.925824175824176,0.236363636363636,1
"Smith Waterman (Simmetrics) - Full Synthesis",0.287620538880005,0.239737274220033,0,1
"Levenshtein (Simmetrics) - TOP 1",0.284677953477974,0.235294117647059,0,0.916666666666667
"Levenshtein (Simmetrics) - TOP 2",0.49494489602332,0.462912087912088,0,1
"Levenshtein (Simmetrics) - TOP 3",0.666097172080662,0.724747474747475,0,1
"Levenshtein (Simmetrics) - TOP 4",0.755309955804496,0.833333333333333,0,1
"Levenshtein (Simmetrics) - TOP 5",0.825422899728699,0.94949494949495,0.0909090909090909,1
"Levenshtein (Simmetrics) - Full Synthesis",0.268644313001653,0.218253968253968,0,0.923076923076923
"Wu & Palmer (WordNet) - TOP 1",0.307468291497437,0.272727272727273,0,1
"Wu & Palmer (WordNet) - TOP 2",0.516473731830107,0.5,0,1
"Wu & Palmer (WordNet) - TOP 3",0.665699155491575,0.696153846153846,0,1
"Wu & Palmer (WordNet) - TOP 4",0.754997377702861,0.80625,0,1
"Wu & Palmer (WordNet) - TOP 5",0.83098505860039,0.930952380952381,0.109090909090909,1
"Wu & Palmer (WordNet) - Full Synthesis",0.290771035949552,0.272727272727273,0,1
"Path Length (WordNet) - TOP 1",0.333853360202397,0.303940568475452,0,1
"Path Length (WordNet) - TOP 2",0.532467269983926,0.5,0,1
"Path Length (WordNet) - TOP 3",0.67422358888299,0.7,0,1
"Path Length (WordNet) - TOP 4",0.758250301670665,0.822478991596639,0,1
"Path Length (WordNet) - TOP 5",0.827630868951935,0.940972222222222,0.0625,1
"Path Length (WordNet) - Full Synthesis",0.303986984436194,0.272727272727273,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 1",0.314183517498469,0.292857142857143,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 2",0.513934923363185,0.553639846743295,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 3",0.655767450046469,0.7,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 4",0.762881760303995,0.875,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 5",0.836242368013675,1,0.0727272727272727,1
"Wikipedia Miner metric (db_wikipedia) - Full Synthesis",0.294196481142858,0.264912280701754,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 1",0.308386859845561,0.285714285714286,0,0.916666666666667
"Wikipedia Miner metric (db_wiktionary) - TOP 2",0.502240553517911,0.5,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 3",0.64801668795883,0.666666666666667,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 4",0.757009289956268,0.83974358974359,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 5",0.831743779079327,0.9375,0.109090909090909,1
"Wikipedia Miner metric (db_wiktionary) - Full Synthesis",0.285083999803723,0.272727272727273,0,0.9375
"Transitive reduction metric - TOP 1",0.34033506272524,0.311422413793103,0,1
"Transitive reduction metric - TOP 2",0.508861594876316,0.461538461538462,0,1
"Transitive reduction metric - TOP 3",0.647349174689118,0.666666666666667,0,1
"Transitive reduction metric - TOP 4",0.754542959552722,0.833333333333333,0,1
"Transitive reduction metric - TOP 5",0.828002638231537,1,0,1
"Transitive reduction metric - Full Synthesis",0.319448671241908,0.25,0,1

Full synthesis (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - TOP 1",0.222844086045711,0.191695011337868,0.0385493765222504,0.666666666666667
"Random - TOP 2",0.429785270647269,0.383390022675737,0.0770987530445009,1
"Random - TOP 3",0.597018402543935,0.575085034013605,0.115648129566751,1
"Random - TOP 4",0.715665721109285,0.733134920634921,0.154197506089002,1
"Random - TOP 5",0.797879521616789,0.882539682539683,0.192746882611252,1
"Random - Full Synthesis",0.209047642806675,0.166666666666667,0,1

Full synthesis on reduced BIG
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - TOP 1",0.402924172844257,0.386083743842365,0,1
"Smith Waterman (Simmetrics) - TOP 2",0.56370546110796,0.563492063492063,0,1
"Smith Waterman (Simmetrics) - TOP 3",0.694254288456023,0.727272727272727,0,1
"Smith Waterman (Simmetrics) - TOP 4",0.776605246539059,0.853571428571429,0.163636363636364,1
"Smith Waterman (Simmetrics) - TOP 5",0.830652978853561,0.916666666666667,0.218181818181818,1
"Smith Waterman (Simmetrics) - Full Synthesis",0.369303914586366,0.326666666666667,0,1
"Levenshtein (Simmetrics) - TOP 1",0.368222031061504,0.327380952380952,0,1
"Levenshtein (Simmetrics) - TOP 2",0.555504225746151,0.55050505050505,0,1
"Levenshtein (Simmetrics) - TOP 3",0.691385299730821,0.75,0,1
"Levenshtein (Simmetrics) - TOP 4",0.760921823224151,0.844951923076923,0,1
"Levenshtein (Simmetrics) - TOP 5",0.81709463020892,0.912878787878788,0.0909090909090909,1
"Levenshtein (Simmetrics) - Full Synthesis",0.349056088075898,0.307692307692308,0,1
"Wu & Palmer (WordNet) - TOP 1",0.394641590701381,0.367864693446089,0,1
"Wu & Palmer (WordNet) - TOP 2",0.57081994028129,0.54858934169279,0,1
"Wu & Palmer (WordNet) - TOP 3",0.69602916862308,0.727272727272727,0,1
"Wu & Palmer (WordNet) - TOP 4",0.768057137728927,0.851648351648352,0,1
"Wu & Palmer (WordNet) - TOP 5",0.827927443912682,0.923076923076923,0.109090909090909,1
"Wu & Palmer (WordNet) - Full Synthesis",0.364944919485887,0.321764705882353,0,1
"Path Length (WordNet) - TOP 1",0.420644546856151,0.412878787878788,0,1
"Path Length (WordNet) - TOP 2",0.58912423892468,0.563492063492063,0,1
"Path Length (WordNet) - TOP 3",0.705596792897516,0.75,0,1
"Path Length (WordNet) - TOP 4",0.7694907774071,0.857142857142857,0,1
"Path Length (WordNet) - TOP 5",0.824020589697282,0.916666666666667,0.0625,1
"Path Length (WordNet) - Full Synthesis",0.377617482886584,0.361818181818182,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 1",0.398302508129731,0.396428571428571,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 2",0.571095994200937,0.583333333333333,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 3",0.683641789456416,0.692307692307692,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 4",0.769149021285851,0.866071428571429,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 5",0.828421663251118,0.916666666666667,0.0545454545454545,1
"Wikipedia Miner metric (db_wikipedia) - Full Synthesis",0.374166990543508,0.339080459770115,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 1",0.399952231539505,0.369318181818182,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 2",0.565001635424887,0.571428571428571,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 3",0.681606523438301,0.709415584415584,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 4",0.763566152994073,0.848076923076923,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 5",0.822249816001891,0.909090909090909,0.109090909090909,1
"Wikipedia Miner metric (db_wiktionary) - Full Synthesis",0.366920978239075,0.333333333333333,0,1
"Transitive reduction metric - TOP 1",0.340618509437258,0.311422413793103,0,1
"Transitive reduction metric - TOP 2",0.514003709019309,0.470238095238095,0,1
"Transitive reduction metric - TOP 3",0.656455009669326,0.7,0,1
"Transitive reduction metric - TOP 4",0.754427095992539,0.833333333333333,0,1
"Transitive reduction metric - TOP 5",0.818657382725445,0.909090909090909,0,1
"Transitive reduction metric - Full Synthesis",0.319448671241908,0.25,0,1

Full synthesis on reduced BIG (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - TOP 1",0.333026724894388,0.284943181818182,0.0295812142403052,1
"Random - TOP 2",0.515507920840863,0.505291005291005,0.0591624284806103,1
"Random - TOP 3",0.653009995152719,0.672619047619048,0.0887436427209155,1
"Random - TOP 4",0.742484420078901,0.8,0.118324856961221,1
"Random - TOP 5",0.805220620555187,0.898717948717949,0.147906071201526,1
"Random - Full Synthesis",0.312578395968922,0.272727272727273,0,1

Full synthesis with FASE
"","mean","median","min","max"
"FASE - Full Synthesis",0.361126621663512,0.358288770053476,0,1

Clusters
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - #clusters",4.13492063492064,4,0,15
"Smith Waterman (Simmetrics) - average cluster size",2.86367787855883,2.66666666666667,0,6
"Smith Waterman (Simmetrics) - % correct clusters",0.504307936507936,0.5,0,1
"Smith Waterman (Simmetrics) - % features in a correct cluster",0.289672137939652,0.264912280701754,0,0.928571428571429
"Levenshtein (Simmetrics) - #clusters",3.99206349206349,3.5,1,13
"Levenshtein (Simmetrics) - average cluster size",2.79056921914065,2.53571428571429,2,6
"Levenshtein (Simmetrics) - % correct clusters",0.553014225633273,0.5,0,1
"Levenshtein (Simmetrics) - % features in a correct cluster",0.309795008137639,0.3,0,0.785714285714286
"Wu & Palmer (WordNet) - #clusters",2.71428571428571,2,0,12
"Wu & Palmer (WordNet) - average cluster size",2.47534328546233,2.33333333333333,0,9
"Wu & Palmer (WordNet) - % correct clusters",0.573182064848731,0.5,0,1
"Wu & Palmer (WordNet) - % features in a correct cluster",0.195167346095283,0.179144385026738,0,0.7
"Path Length (WordNet) - #clusters",2.47619047619048,2,0,12
"Path Length (WordNet) - average cluster size",2.30569727891156,2.2,0,8
"Path Length (WordNet) - % correct clusters",0.676161081716637,0.75,0,1
"Path Length (WordNet) - % features in a correct cluster",0.218455368752343,0.2,0,0.8
"Wikipedia Miner metric (db_wikipedia) - #clusters",3.26984126984127,3,0,12
"Wikipedia Miner metric (db_wikipedia) - average cluster size",2.85590256304542,2.66666666666667,0,6.5
"Wikipedia Miner metric (db_wikipedia) - % correct clusters",0.546765565058248,0.5,0,1
"Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster",0.257088826076438,0.221598877980365,0,0.8
"Wikipedia Miner metric (db_wiktionary) - #clusters",2.86507936507937,3,0,11
"Wikipedia Miner metric (db_wiktionary) - average cluster size",2.33724776105728,2,0,5
"Wikipedia Miner metric (db_wiktionary) - % correct clusters",0.667891319207109,0.69047619047619,0,1
"Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster",0.244871545533634,0.233031674208145,0,0.7
"Transitive reduction metric - #clusters",2.30952380952381,2,1,7
"Transitive reduction metric - average cluster size",2.78321995464853,3,2.25,4
"Transitive reduction metric - % correct clusters",0.373412698412698,0.333333333333333,0,1
"Transitive reduction metric - % features in a correct cluster",0.153658289346557,0.11437908496732,0,0.75

Clusters (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - #clusters",6.2248253968254,5,0,27
"Random - average cluster size",2.1568816422013,2.14285714285714,0,5
"Random - % correct clusters",0.277325450507826,0.25,0,1
"Random - % features in a correct cluster",0.18927865279547,0.166666666666667,0,1

Clusters on reduced BIG
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - #clusters",2.96031746031746,3,0,9
"Smith Waterman (Simmetrics) - average cluster size",2.4599111866969,2.33333333333333,0,6
"Smith Waterman (Simmetrics) - % correct clusters",0.662630579297246,0.666666666666667,0,1
"Smith Waterman (Simmetrics) - % features in a correct cluster",0.266360160353618,0.231283422459893,0,0.928571428571429
"Levenshtein (Simmetrics) - #clusters",3.07142857142857,3,0,9
"Levenshtein (Simmetrics) - average cluster size",2.48963214915596,2.4,0,5.5
"Levenshtein (Simmetrics) - % correct clusters",0.672933884297521,0.75,0,1
"Levenshtein (Simmetrics) - % features in a correct cluster",0.291831431628297,0.289915966386555,0,0.785714285714286
"Wu & Palmer (WordNet) - #clusters",2.25396825396825,2,0,10
"Wu & Palmer (WordNet) - average cluster size",2.23164525069287,2,0,6
"Wu & Palmer (WordNet) - % correct clusters",0.647268697268697,0.666666666666667,0,1
"Wu & Palmer (WordNet) - % features in a correct cluster",0.187442580547533,0.166666666666667,0,0.7
"Path Length (WordNet) - #clusters",2.00793650793651,2,0,11
"Path Length (WordNet) - average cluster size",2.0865663437092,2,0,8
"Path Length (WordNet) - % correct clusters",0.731530282015719,1,0,1
"Path Length (WordNet) - % features in a correct cluster",0.19765913471282,0.170289855072464,0,0.7
"Wikipedia Miner metric (db_wikipedia) - #clusters",2.45238095238095,2,0,9
"Wikipedia Miner metric (db_wikipedia) - average cluster size",2.46434870244394,2.5,0,6
"Wikipedia Miner metric (db_wikipedia) - % correct clusters",0.674671008004341,0.75,0,1
