Stats on input FMs
"","mean","median","min","max"
"#features",17.6129032258065,15,9,56
"depth of hierarchy",3.78494623655914,4,3,11
"#edges in BIG",138.913978494624,79,20,1513
"#edges in reduced BIG",56.5698924731183,33,0,449
"parent candidates (min)",5.12903225806452,4,0,21
"parent candidates (max)",8.3010752688172,7,2,36
"parent candidates (average)",6.43661142706925,5.5,1.53846153846154,27.0178571428571
"% parents kept after reducing BIG",0.563328924910802,0.588235294117647,0,0.9375

Full synthesis
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - TOP 1",0.328932126095529,0.294117647058824,0,1
"Smith Waterman (Simmetrics) - TOP 2",0.517953224695768,0.5,0,1
"Smith Waterman (Simmetrics) - TOP 3",0.666621635351914,0.684210526315789,0,1
"Smith Waterman (Simmetrics) - TOP 4",0.768625579872633,0.833333333333333,0.181818181818182,1
"Smith Waterman (Simmetrics) - TOP 5",0.830572845093956,0.928571428571429,0.236363636363636,1
"Smith Waterman (Simmetrics) - Full Synthesis",0.296784193531019,0.25,0,1
"Levenshtein (Simmetrics) - TOP 1",0.294780208522701,0.25,0,1
"Levenshtein (Simmetrics) - TOP 2",0.485633256581513,0.5,0,1
"Levenshtein (Simmetrics) - TOP 3",0.665926221628511,0.727272727272727,0,1
"Levenshtein (Simmetrics) - TOP 4",0.748175700106583,0.818181818181818,0,1
"Levenshtein (Simmetrics) - TOP 5",0.819953417783861,1,0.0909090909090909,1
"Levenshtein (Simmetrics) - Full Synthesis",0.276637526632933,0.222222222222222,0,1
"Wu & Palmer (WordNet) - TOP 1",0.321294849291143,0.285714285714286,0,1
"Wu & Palmer (WordNet) - TOP 2",0.506956953037632,0.5,0,1
"Wu & Palmer (WordNet) - TOP 3",0.655653557855592,0.692307692307692,0,1
"Wu & Palmer (WordNet) - TOP 4",0.744038572017583,0.785714285714286,0,1
"Wu & Palmer (WordNet) - TOP 5",0.821283544405195,0.923076923076923,0.109090909090909,1
"Wu & Palmer (WordNet) - Full Synthesis",0.315727681014229,0.285714285714286,0,1
"Path Length (WordNet) - TOP 1",0.335488799355252,0.333333333333333,0,1
"Path Length (WordNet) - TOP 2",0.524741109158961,0.5,0,1
"Path Length (WordNet) - TOP 3",0.665121299401179,0.705882352941177,0,1
"Path Length (WordNet) - TOP 4",0.751823629701453,0.821428571428571,0,1
"Path Length (WordNet) - TOP 5",0.818553181573039,0.954545454545455,0.0625,1
"Path Length (WordNet) - Full Synthesis",0.321403693111774,0.304347826086957,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 1",0.319251334837511,0.3125,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 2",0.521663677364147,0.551724137931034,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 3",0.650772164618706,0.692307692307692,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 4",0.751170347940675,0.875,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 5",0.821311210812689,1,0.0727272727272727,1
